식당(ID),식당명,지점명,지역명,어워드정보설명,(RTI)지수,온라인화진행여부,수용태세지수,인기도,트립어드바이저평점,씨트립평점,네이버평점
61672,미성호프커피숍,,관악구,,0.910544,N,0.189,,,,
61673,카페드아야,,강서구,,4.2947478,N,0.217,0.33,,,4.54
61674,원조소금구이,,강남구,,4.3154493,Y,0.393,0.33,4,,4.3
61675,금호풍년숯불갈비,,관악구,,3.8151542,N,0.215,0.01,,,4.3
61676,카페이브닝,,강서구,,0.910544,N,0.201,,,,4.69
61677,냥토피아,,광진구,,4.574713,Y,0.26,0.33,,,4.59
61680,커피스토리,,강서구,,0.0186212,,0.029,,,,
61681,정닭곰탕,,강남구,,3.998535,Y,0.212,0.03,,,4.46
61682,이디야커피,가양역점,강서구,,4.5476997,Y,0.257,0.03,,,4.46
61683,신오빠닭발,,관악구,,4.2617441,Y,0.252,0.04,,,4.41
61684,키쉬미뇽,미아점,강북구,,4.3018611,N,0.216,0.33,,,4.38
61685,헤미앤바우어,,강북구,,4.2386756,Y,0.298,0.33,,,4.23
61686,둥이,대치본점,강남구,모범음식점(2021),4.0936521,Y,0.232,0.2,,,4.11
61687,이모네왕냉면,,강동구,,4.0210963,N,0.215,0.03,,,4.28
61688,스테프핫도그,김포공항점,강서구,,4.2932899,N,0.216,0.33,,,4.15
61689,큐큐면관,삼성점,강남구,,4.3906636,N,0.262,0.33,,,4.34
61690,본죽,강일지구점,강동구,,4.3771048,N,0.219,0.1,,,4.27
61691,투썸플레이스,양천향교역점,강서구,,4.2595562,N,0.281,0.24,4,,4.38
61692,구영회참치&초밥(강남점),강남점,강남구,,4.2723573,N,0.217,0.33,,,4.63
61693,한스시,,강동구,,4.3411935,N,0.216,0.11,,,4.55
61694,죽이야기,서울 강서발산미즈메디점,강서구,안심식당(2020),4.4069663,N,0.289,0.13,,,4.48
61695,영동갈비살,삼성점,강남구,,4.2453604,N,0.214,0.06,,,3.9
61696,카페다비다,,광진구,,4.3984077,N,0.259,0.14,,,4.66
61697,이디야커피,염창블루나인점,강서구,,4.4751365,N,0.24,0.06,,,4.42
61698,성내회직판장,,강동구,,4.3237577,N,0.216,0.02,,,4.41
61699,교촌치킨,압구정신사점,강남구,,4.3362953,N,0.281,0.33,,,4.35
61700,버스커,,광진구,,4.3780976,Y,0.232,0.08,,,4.32
61701,모카라비아,김포공항점,강서구,,4.0717341,N,0.216,0.02,,,4.5
61702,용궁회수산,,강동구,,4.0717341,N,0.202,0.02,,,5
61703,미음죽,,강남구,,4.314401,Y,0.234,0.16,,,4.71
61704,공항 떡볶이,,강서구,,4.1162244,Y,0.232,0.01,,,4.15
